일자,현재가,대비부호,전일대비,등락율,체결수량,프로그램매도금액,프로그램매수금액,프로그램순매수금액,프로그램순매수금액증감,프로그램매도수량,프로그램매수수량,프로그램순매수수량,프로그램순매수수량증감,거래소구분
20260720,35900,0,0,0.00,0,0,0,0,--6499,0,0,0,--184361,KRX
20260716,+35900,2,+1000,+2.87,2680070,49939,56438,+6499,--2397,1405350,1589711,+184361,--66675,KRX
20260715,+34900,2,+1050,+3.10,1890167,28860,37756,+8896,+5827,821770,1072806,+251036,+162023,KRX
20260714,-33850,5,-900,-2.59,2147915,30846,33915,+3069,+2339,902516,991529,+89013,+68645,KRX
20260713,-34750,5,-600,-1.70,1677515,24137,24867,+730,--20183,687277,707645,+20368,--565209,KRX
20260710,+35350,2,+1700,+5.05,2167200,20633,41546,+20913,+16592,578807,1164384,+585577,+460775,KRX
20260709,-33650,5,-1000,-2.89,1897906,25811,30132,+4321,+1818,760602,885404,+124802,+54650,KRX
20260708,-34650,5,-750,-2.12,2205415,29155,31658,+2503,+228,848545,918697,+70152,+5254,KRX
20260707,-35400,5,-200,-0.56,1704255,26182,28457,+2275,--2779,747235,812133,+64898,--77174,KRX
20260706,+35600,2,+100,+0.28,1289188,15825,20879,+5054,+1689,445473,587545,+142072,+48193,KRX
20260703,+35500,2,+250,+0.71,1867705,30152,33517,+3365,--2615,860291,954170,+93879,--76034,KRX
20260702,+35250,2,+450,+1.29,2227923,28057,34037,+5980,+1416,793526,963439,+169913,+39539,KRX
20260701,+34800,2,+250,+0.72,1541412,15940,20504,+4564,+7786,456328,586702,+130374,+223013,KRX
20260630,-34550,5,-1300,-3.63,1238767,28074,24852,--3222,--18689,806289,713650,--92639,--536497,KRX
20260629,+35850,2,+2700,+8.14,1802862,26061,41528,+15467,+19387,741821,1185679,+443858,+563016,KRX
20260626,-33150,5,-1100,-3.21,1776988,30830,26910,--3920,--18989,930884,811726,--119158,--549764,KRX
20260625,+34250,2,+250,+0.74,1678291,21487,36556,+15069,+15977,615709,1046315,+430606,+458649,KRX
20260624,-34000,5,-250,-0.73,1655613,25694,24786,--908,+5591,755178,727135,--28043,+159856,KRX
20260623,-34250,5,-2550,-6.93,1929040,28656,22157,--6499,+7702,815046,627147,--187899,+193552,KRX
20260622,-36800,5,-950,-2.52,1352403,29454,15253,--14201,--3166,789667,408216,--381451,--91018,KRX
20260619,-37750,5,-1550,-3.94,2414692,41486,30451,--11035,--3716,1089381,798948,--290433,--105651,KRX
20260618,-39300,5,-1250,-3.08,1196377,20781,13462,--7319,--13362,525514,340732,--184782,--332148,KRX
20260617,+40550,2,+100,+0.25,1138416,15782,21825,+6043,+5652,388779,536145,+147366,+137631,KRX
20260616,-40450,5,-300,-0.74,1427296,31936,32327,+391,+10599,785291,795026,+9735,+259109,KRX
20260615,-40750,5,-750,-1.81,1908601,35017,24809,--10208,--32420,855464,606090,--249374,--773585,KRX
20260612,+41500,2,+2200,+5.60,4079208,43037,65249,+22212,+32786,1030666,1554877,+524211,+798417,KRX
20260611,+39300,2,+1150,+3.01,2013343,39273,28699,--10574,+6024,1019140,744934,--274206,+163436,KRX
20260610,-38150,5,-1350,-3.42,2127595,43159,26561,--16598,--28701,1135686,698044,--437642,--743454,KRX
20260609,+39500,2,+900,+2.33,2013579,31018,43121,+12103,--758,786402,1092214,+305812,--23524,KRX
20260608,-38600,5,-1650,-4.10,2625755,35017,47878,+12861,+14007,905259,1234595,+329336,+358403,KRX
20260605,-40250,5,-1750,-4.17,1968515,26026,24880,--1146,--9377,647009,617942,--29067,--225235,KRX
20260604,-42000,5,-550,-1.29,2029148,33338,41569,+8231,--7994,792146,988314,+196168,--189639,KRX
20260602,-42550,5,-150,-0.35,3434966,37844,54069,+16225,+115338,899713,1285520,+385807,+2598887,KRX
20260601,+42700,2,+750,+1.79,11795777,191536,92423,--99113,--103471,4319301,2106221,--2213080,--2320442,KRX
20260529,+41950,2,+1850,+4.61,7448112,157636,161994,+4358,+3684,3743784,3851146,+107362,+93192,KRX
20260528,-40100,5,-400,-0.99,2571868,38647,39321,+674,--3113,972680,986850,+14170,--78485,KRX
20260527,-40500,5,-950,-2.29,1652378,27175,30962,+3787,+5236,670912,763567,+92655,+127129,KRX
20260526,-41450,5,-400,-0.96,1507976,27092,25643,--1449,--3356,654343,619869,--34474,--78886,KRX
20260522,+41850,2,+50,+0.12,1413790,29447,31354,+1907,--18862,700677,745089,+44412,--454305,KRX
20260521,+41800,2,+1650,+4.11,1732522,23744,44513,+20769,+24544,569003,1067720,+498717,+592402,KRX
20260520,-40150,5,-1450,-3.49,2019858,35241,31466,--3775,--1213,873221,779536,--93685,--31186,KRX
20260519,-41600,5,-850,-2.00,1545131,30455,27893,--2562,+9242,729200,666701,--62499,+216905,KRX
20260518,-42450,5,-1550,-3.52,1876958,42074,30270,--11804,--18078,993783,714379,--279404,--416905,KRX
20260515,-44000,5,-1950,-4.24,2235112,34722,40996,+6274,--32796,776766,914267,+137501,--731107,KRX
20260514,+45950,2,+3000,+6.98,3640858,48254,87324,+39070,+27546,1067096,1935704,+868608,+600599,KRX
20260513,-42950,5,-600,-1.38,2337765,35144,46668,+11524,+9007,818987,1086996,+268009,+208431,KRX
20260512,-43550,5,-1150,-2.57,2900712,56091,58608,+2517,+16288,1283020,1342598,+59578,+365890,KRX
20260511,-44700,5,-1300,-2.83,2628330,47989,34218,--13771,--20604,1065850,759538,--306312,--452624,KRX
20260508,+46000,2,+750,+1.66,3381737,56904,63737,+6833,+61175,1227918,1374230,+146312,+1335347,KRX
20260507,-45250,5,-1050,-2.27,3342858,88960,34618,--54342,--55846,1948446,759411,--1189035,--1219343,KRX
20260506,-46300,5,-800,-1.70,2392733,40817,42321,+1504,+20129,874799,905107,+30308,+424977,KRX
20260504,-47100,5,-200,-0.42,1520475,35955,17330,--18625,--13061,761933,367264,--394669,--277542,KRX
20260430,-47300,5,-1100,-2.27,1484406,31132,25568,--5564,+8438,656432,539305,--117127,+172354,KRX
20260429,-48400,5,-450,-0.92,1123582,26546,12544,--14002,--18719,548948,259467,--289481,--385888,KRX
20260428,+48850,2,+400,+0.83,1274968,15359,20076,+4717,--3650,314581,410988,+96407,--75102,KRX
20260427,+48450,2,+400,+0.83,1436742,22119,30486,+8367,+8659,455443,626952,+171509,+177783,KRX
20260424,-48050,5,-350,-0.72,1064052,16531,16239,--292,+8130,345039,338765,--6274,+167810,KRX
20260423,-48400,5,-50,-0.10,1658254,33121,24699,--8422,--5279,684785,510701,--174084,--109202,KRX
20260422,-48450,5,-500,-1.02,1143499,24756,21613,--3143,+9623,511909,447027,--64882,+196853,KRX
20260421,+48950,2,+100,+0.20,1316511,30972,18206,--12766,--305,634575,372840,--261735,--8267,KRX
20260420,-48850,5,-1150,-2.30,1125279,28073,15612,--12461,--12501,571097,317629,--253468,--254323,KRX
20260417,-50000,5,-600,-1.19,890443,18197,18237,+40,--4026,363813,364668,+855,--78866,KRX
20260416,+50600,2,+1000,+2.02,1290032,27978,32044,+4066,+7552,553340,633061,+79721,+150112,KRX
20260415,+49600,2,+1500,+3.12,1413990,28471,24985,--3486,--6375,573508,503117,--70391,--129515,KRX
20260414,+48100,2,+1100,+2.34,1049751,16733,19622,+2889,--4077,345950,405074,+59124,--89142,KRX
20260413,-47000,5,-700,-1.47,829991,15791,22757,+6966,+2812,336801,485067,+148266,+61328,KRX
