순위,종목코드,종목명,현재가,전일대비,,등락률,거래량,거래비중,시가총액,시가총액비,체결강도
1,'005930,삼성전자,"83,900",▼,"-300","-0.36%","22,306,947","7.88","496,657,622","15.22%",77.37
2,'000660,SK하이닉스,"348,000",▼,"-1,000","-0.29%","3,138,059","4.61","253,344,823","7.76%",98.44
3,'373220,LG에너지솔루션,"348,000",▼,"-3,500","-1.00%","182,471","0.26","81,432,000","2.49%",67.14
4,'207940,삼성바이오로직스,"998,000",▼,"-5,000","-0.50%","97,894","0.41","71,031,652","2.17%",71.03
5,'012450,한화에어로스페이스,"1,107,000",▲,"48,000","+4.53%","395,892","1.82","57,080,685","1.75%",160.47
6,'005935,삼성전자우,"66,400",▼,"-100","-0.15%","3,021,296","0.84","54,180,718","1.66%",83.33
7,'329180,HD현대중공업,"514,000",▲,"22,500","+4.58%","337,681","0.71","45,629,382","1.39%",212.60
8,'005380,현대차,"215,000", ,"0","0%","463,011","0.41","44,022,920","1.34%",113.68
9,'105560,KB금융,"115,300",▼,"-400","-0.35%","1,008,661","0.48","43,982,580","1.34%",95.03
10,'035420,NAVER,"267,000",▼,"-7,500","-2.73%","5,550,742","6.33","41,879,654","1.28%",73.79
11,'068270,셀트리온,"173,300",▼,"-5,300","-2.97%","882,301","0.64","40,021,755","1.22%",62.75
12,'034020,두산에너빌리티,"62,200",▼,"-700","-1.11%","6,832,542","1.79","39,842,903","1.22%",72.91
13,'000270,기아,"100,900",▲,"200","+0.20%","953,351","0.40","39,733,337","1.21%",72.48
14,'055550,신한지주,"70,700",▼,"-200","-0.28%","1,672,846","0.49","34,324,492","1.05%",130.77
15,'042660,한화오션,"110,300",▲,"3,300","+3.08%","2,483,979","1.14","33,797,397","1.03%",166.19
16,'028260,삼성물산,"184,200",▼,"-3,800","-2.02%","429,086","0.33","31,309,679","0.96%",75.75
17,'032830,삼성생명,"155,500",▲,"200","+0.13%","338,729","0.22","31,100,000","0.95%",91.77
18,'009540,HD한국조선해양,"410,500",▲,"10,500","+2.63%","280,766","0.48","29,052,364","0.89%",152.14
19,'012330,현대모비스,"298,500",▲,"2,500","+0.84%","181,957","0.22","27,400,836","0.84%",118.92
20,'402340,SK스퀘어,"201,000",▲,"3,900","+1.98%","452,784","0.38","26,640,712","0.81%",165.46
21,'035720,카카오,"59,600",▼,"-700","-1.16%","4,072,022","1.03","26,359,620","0.80%",64.41
22,'196170,알테오젠,"455,500",▼,"-10,500","-2.25%","367,348","0.71","24,371,886","0.74%",70.31
23,'086790,하나금융지주,"87,500",▼,"-1,300","-1.46%","886,169","0.32","24,353,509","0.74%",89.62
24,'064350,현대로템,"219,500",▲,"4,000","+1.86%","1,217,446","1.13","23,956,733","0.73%",151.11
25,'015760,한국전력,"36,050",▼,"-850","-2.30%","1,782,599","0.27","23,142,805","0.70%",54.52
